time,altitude,groundspeed,true_airspeed,vertical_rate,mass,fuel_flow
6633.0,23530.9375,504.0,478.76475076850096,-4526.6015625,64246.8404464722,0.09502993066562333
6634.0,23451.390625,504.0,478.66547912933896,-4492.0703125,64246.8404464722,0.09352189406131722
6635.0,23375.84375,504.0,478.81774249019,-4423.203125,64246.8404464722,0.08797405182771999
6636.0,23303.390625,504.0,478.91104286914594,-4359.8046875,64246.8404464722,0.08870247681935667
6637.0,23228.296875,504.0,478.96153847094,-4268.671875,64246.8404464722,0.08870247681935667
6638.0,23160.296875,504.0,478.94293879084097,-4169.8046875,64246.8404464722,0.08814336142037056
6639.0,23092.296875,504.0,478.77715695858495,-4080.9375,64246.8404464722,0.08668651143709832
6640.0,23024.296875,503.64453125,478.704662268607,-4002.070312500061,64246.8404464722,0.08640695373760555
6641.0,22957.203125,503.0,478.4403174269819,-3930.9375,64246.8404464722,0.08511941334698334
6642.0,22897.203125,503.0,478.222936882222,-3853.203125,64246.8404464722,0.08366256336371111
6643.0,22835.84375,503.0,478.4658191160479,-3792.0703125,64246.8404464722,0.08310344796472555
6644.0,22765.203125,502.64453125,478.686327799076,-3724.3359375,64246.8404464722,0.08164659798145278
6645.0,22705.65625,502.0,478.274131907531,-3675.46875,64246.8404464722,0.08136704028196
6646.0,22648.75,502.0,477.640929105908,-3636.6015625,64246.8404464722,0.08091817298981667
6647.0,22585.203125,501.64453125,476.965143795899,-3603.203125,64246.8404464722,0.08220571338043833
6648.0,22526.109375,501.0,476.35781128717,-3547.73437499997,64246.8404464722,0.08506035186117501
6649.0,22472.75,501.0,476.266344344581,-3528.867187499989,64246.8404464722,0.089541149917835
6650.0,22409.65625,500.64453125,475.910322676809,-3518.867187499989,64246.8404464722,0.09172642489274334
6651.0,22353.203125,500.0,475.43997025947897,-3506.6015625,64246.8404464722,0.09172642489274334
6652.0,22294.109375,500.0,475.052867465654,-3475.46875,64246.8404464722,0.09144686719325056
6653.0,22240.296875,499.64453125,474.854272182214,-3437.734375,64246.8404464722,0.09099799990110724
6654.0,22173.65625,499.0,474.69996211720496,-3415.46875,64246.8404464722,0.09144686719325056
6655.0,22118.109375,498.64453125,474.6549719473619,-3380.0000000000105,64246.8404464722,0.09043888450212167
6656.0,22065.65625,498.0,474.509603680468,-3375.46875,64246.8404464722,0.08971045951048555
6657.0,22010.109375,498.0,474.1937623608401,-3336.60156250003,64246.8404464722,0.08999001720997835
6658.0,21957.65625,497.64453125,473.88154699045305,-3306.6015625,64246.8404464722,0.09015932680262889
6659.0,21901.65625,497.0,473.666176241628,-3278.867187499989,64246.8404464722,0.08898203451884888
6660.0,21845.65625,497.0,473.21152935696097,-3270.0,64246.8404464722,0.08971045951048555
6661.0,21790.109375,496.64453125,472.750650421776,-3267.734375,64246.8404464722,0.08971045951048555
6662.0,21737.65625,496.0,472.346638062334,-3247.73437500003,64246.8404464722,0.08971045951048555
6663.0,21681.65625,495.64453125,471.633462089125,-3225.46875,64246.8404464722,0.09921542129324112
6664.0,21626.5625,495.0,470.96740827297305,-3187.734375,64246.8404464722,0.1351641789885861
6665.0,21577.65625,494.64453125,470.685733062539,-3169.99999999998,64246.8404464722,0.16877410184591998
